id_mat_rule,mat_general,astm_designation,match_token,exclude_token,priority,is_active,notes
1,CS,A106 Grade B,A106B,,100,1,pipe cs
2,CS,A106 Grade B,SA106B,,100,1,pipe cs
3,CS,A106 Grade B,A-106,,100,1,pipe cs
4,CS,A53 Grade B,A53B,,95,1,pipe erw
5,CS,A53 Grade B,API-5L,,95,1,pipe spec proxy
6,CS,A234 WPB,A234-WPB,,95,1,buttweld fittings
7,CS,A234 WPB,SA234-WPB,,95,1,buttweld fittings
8,CS,A105,A105,,95,1,forged cs
9,CS,A105,SA105,,95,1,forged cs
10,CS,A350 LF2,A350-LF2,,95,1,ltcs forging
11,CS,A350 LF2,A350 LF2,,95,1,ltcs forging
12,CS,A420 WPL6,A420-WPL6,,95,1,ltcs fittings
13,CS,A420 WPL6,A420-WPL-6,,95,1,ltcs fittings
14,CS,A516 Grade 70,A516-70,,90,1,plate cs
15,CS,A672 C60/C65,A672-C60,,90,1,efw pipe
16,CS,A672 C60/C65,A672-C65,,90,1,efw pipe
17,CS,A694 F42,A694-F42,,90,1,high yield cs
18,CS,A333 Grade 6,A333-6,,90,1,ltcs pipe
19,CS,A333 Grade 6,A333 GRADE 6,,90,1,ltcs pipe
20,CS,A193 B7 + A194 2H,A193-B7,,85,1,stud material
21,CS,A193 B7 + A194 2H,A194-2H,,85,1,nut material pair
22,SS304,A182 F304/F304L,A182-F304/304L,,110,1,forged ss304
23,SS304,A182 F304/F304L,A182-F304,,108,1,forged ss304
24,SS304,A312 TP304/304L,A312-TP304/304L,,110,1,pipe ss304
25,SS304,A312 TP304/304L,TP304/304L,,108,1,pipe ss304
26,SS304,A403 WP304/WP304L,A403-WP304/304L,,110,1,fitting ss304
27,SS304,A403 WP304/WP304L,WP304/304L,,108,1,fitting ss304
28,SS304,A240 304/304L,A240-304/304L,,90,1,plate/bar ss304
29,SS304,A240 304/304L,304/304L,,88,1,generic ss304 token
30,SS304,A790 S32205/S31803,A790 TYPE 2205,,75,1,duplex alt token do not use if duplex matched first
31,SS316,A182 F316/F316L,A182-F316/316L,,110,1,forged ss316
32,SS316,A182 F316/F316L,A182-F316,,108,1,forged ss316
33,SS316,A312 TP316/316L,A312-TP316/316L,,110,1,pipe ss316
34,SS316,A312 TP316/316L,TP316/316L,,108,1,pipe ss316
35,SS316,A403 WP316/WP316L,A403-WP316/316L,,110,1,fitting ss316
36,SS316,A403 WP316/WP316L,WP316/316L,,108,1,fitting ss316
37,SS316,A479 316,A479-316,,92,1,bar/plug ss316
38,SS316,A240 316/316L,316/316L,,88,1,generic ss316 token
39,SS317,A182 F317/F317L,A182-F317L,,110,1,forged ss317
40,SS317,A182 F317/F317L,A182-F317,,108,1,forged ss317
41,SS317,A312 TP317L,A312-TP317L,,110,1,pipe ss317
42,SS317,A403 WP317L,A403-WP317L,,110,1,fitting ss317
43,SS317,A240 317L,A240-317L,,90,1,plate ss317
44,DUPLEX,A182 F51 UNS S31803/S32205,A182-F51,,120,1,duplex forged
45,DUPLEX,A790 UNS S31803/S32205,UNS-S31803,,120,1,duplex pipe spec
46,DUPLEX,A790 UNS S31803/S32205,UNS-S32205,,120,1,duplex pipe spec
47,DUPLEX,A790 UNS S31803/S32205,S31803,,118,1,duplex token
48,DUPLEX,A790 UNS S31803/S32205,S32205,,118,1,duplex token
49,DUPLEX,A815 WPS32205,A815-WPS32205,,118,1,duplex fittings
50,DUPLEX,A815 WPS32205,WPS32205,,116,1,duplex fittings
51,ALLOY_C276,B622 UNS N10276,ALLOY C276,,125,1,high nickel
52,ALLOY_C276,B622 UNS N10276,C276,,122,1,high nickel
53,ALLOY_C276,B622 UNS N10276,UNS-N10276,,125,1,high nickel
54,ALLOY_C276,B622 UNS N10276,N10276,,122,1,high nickel
55,ALLOY_C276,B622 UNS N10276,B622,,115,1,pipe/tube alloy c276
56,ALLOY_C276,B366 WPHC276S,B366-WPHC276S,,115,1,fittings alloy c276
57,ALLOY_C276,B462 UNS N10276,B462,,115,1,forged/bar alloy c276
58,CHROME,A335 P9,A335-P9,,120,1,chrome pipe
59,CHROME,A335 P9,SA335-P9,,120,1,chrome pipe
60,CHROME,A182 F9,A182-F9,,120,1,chrome forging
61,CHROME,A182 F9,SA182-F9,,120,1,chrome forging
62,NITRONIC60,A276 UNS S21800,NITRONIC 60,,118,1,nitronic family
63,NITRONIC60,A276 UNS S21800,A276,,92,1,bar spec for nitronic context
64,GALV,Carbon Steel Galvanized,GALVANIZED,STAINLESS|SS,70,1,coating state if needed
65,LTCS,A333 Grade 6,LTCS,,85,1,material family token
66,SS347,A312 TP347,A312-TP347,,108,1,ss347 pipe
67,SS347,A182 F347,A182-F347,,108,1,ss347 forging
68,SS347,A403 WP347,A403-WP347,,108,1,ss347 fittings
69,SS347,A240 347,TYPE 347,,90,1,ss347 plate/bar token
70,CS,A181,A181,,85,1,forged cs
